ibge_code,municipio,regiao_intermediaria,regiao_imediata,populacao_censo_2022,total_denuncias,total_penal,denuncias_unicas,denuncias_unicas_penal,sem_grupo_total,sem_grupo_penal,criancas_total,criancas_penal,mulheres_total,mulheres_penal,idosos_total,idosos_penal,pcd_total,pcd_penal,lgbt_total,lgbt_penal,prisional_total,prisional_penal,denuncias_unicas_maioria_penal,total_registros,total_social,taxa_total_10k,taxa_penal_10k,taxa_denuncias_unicas_10k,taxa_denuncias_maioria_penal_10k,taxa_criancas_10k,taxa_criancas_penal_10k,taxa_mulheres_10k,taxa_mulheres_penal_10k,taxa_idosos_10k,taxa_idosos_penal_10k,taxa_pcd_10k,taxa_pcd_penal_10k,taxa_lgbt_10k,taxa_lgbt_penal_10k,taxa_prisional_10k,taxa_prisional_penal_10k
4204350,Cordilheira Alta,Chapecó,Chapecó,4781,187,115,25,24,38,22,77,40,3,3,58,42,12,9,18,10,0,0,20,187,72,391.13,240.54,52.29,41.83,161.05,83.66,6.27,6.27,121.31,87.85,25.1,18.82,37.65,20.92,0.0,0.0
4204400,Coronel Freitas,Chapecó,Chapecó,10388,423,272,46,46,38,25,197,127,0,0,184,117,46,30,0,0,0,0,38,423,151,407.2,261.84,44.28,36.58,189.64,122.26,0.0,0.0,177.13,112.63,44.28,28.88,0.0,0.0,0.0,0.0
4204459,Coronel Martins,Chapecó,Xanxerê,2065,145,78,18,17,0,0,44,28,0,0,98,49,13,2,0,0,0,0,13,145,67,702.18,377.72,87.17,62.95,213.08,135.59,0.0,0.0,474.58,237.29,62.95,9.69,0.0,0.0,0.0,0.0
4204558,Correia Pinto,Lages,Lages,15727,705,385,82,76,41,27,383,201,38,30,136,74,144,77,0,0,19,12,51,705,320,448.27,244.8,52.14,32.43,243.53,127.81,24.16,19.08,86.48,47.05,91.56,48.96,0.0,0.0,12.08,7.63
4204509,Corupá,Joinville,Joinville,15267,1509,929,211,206,27,16,505,273,14,8,810,507,341,218,1,1,95,93,120,1509,580,988.41,608.5,138.21,78.6,330.78,178.82,9.17,5.24,530.56,332.09,223.36,142.79,0.66,0.66,62.23,60.92
4204608,Criciúma,Criciúma,Criciúma,214493,16791,10469,2208,2106,800,518,7670,4491,694,506,6005,3772,2822,1761,637,410,571,501,1414,16791,6322,782.82,488.08,102.94,65.92,357.59,209.38,32.36,23.59,279.96,175.86,131.57,82.1,29.7,19.11,26.62,23.36
4204707,Cunha Porã,Chapecó,Maravilha,10953,288,178,45,44,6,4,102,54,40,24,141,97,13,9,0,0,0,0,29,288,110,262.94,162.51,41.08,26.48,93.13,49.3,36.52,21.91,128.73,88.56,11.87,8.22,0.0,0.0,0.0,0.0
4204756,Cunhataí,Chapecó,Chapecó,1968,80,59,15,15,14,6,52,41,0,0,13,11,6,4,0,0,0,0,9,80,21,406.5,299.8,76.22,45.73,264.23,208.33,0.0,0.0,66.06,55.89,30.49,20.33,0.0,0.0,0.0,0.0
4204806,Curitibanos,Lages,Curitibanos,40045,3789,2325,483,459,279,178,1997,1164,156,119,1148,726,497,332,22,16,13,13,314,3789,1464,946.19,580.6,120.61,78.41,498.69,290.67,38.96,29.72,286.68,181.3,124.11,82.91,5.49,4.0,3.25,3.25
4204905,Descanso,Chapecó,São Miguel do Oeste,8530,200,129,33,33,46,33,51,37,0,0,80,43,37,28,0,0,0,0,23,200,71,234.47,151.23,38.69,26.96,59.79,43.38,0.0,0.0,93.79,50.41,43.38,32.83,0.0,0.0,0.0,0.0
